JourneyID,CustomerID,ProductID,VisitDate,Stage,Action,Duration
1,64,18,10.06.2024,checkout,Drop-off,
2,94,11,09.07.2025,checkout,Drop-off,
3,34,8,14.06.2024,productpage,View,235.0
4,33,18,28.05.2025,checkout,Drop-off,
5,91,10,11.02.2023,homepage,Click,156.0
6,54,11,19.12.2025,homepage,View,264.0
7,80,4,25.08.2023,homepage,View,298.0
8,99,10,03.07.2025,productpage,View,287.0
9,31,4,13.06.2025,productpage,View,278.0
10,44,16,23.04.2025,productpage,View,30.0
11,23,12,22.08.2023,checkout,Drop-off,
12,97,12,28.07.2023,productpage,View,227.0
13,83,5,20.06.2024,homepage,View,223.0
14,14,13,01.11.2025,productpage,View,13.0
15,9,1,04.11.2025,productpage,View,292.0
16,14,16,17.07.2024,homepage,View,46.0
17,67,2,11.12.2025,homepage,View,185.0
18,70,15,13.10.2025,homepage,View,191.0
19,9,1,15.08.2024,homepage,View,187.0
20,44,18,19.02.2024,productpage,View,154.0
21,58,20,07.03.2024,checkout,Drop-off,
22,12,1,19.11.2025,homepage,Click,20.0
23,58,1,05.07.2023,homepage,View,48.0
24,77,6,25.06.2025,checkout,Drop-off,
25,75,12,23.11.2023,productpage,View,239.0
26,78,20,17.04.2024,homepage,View,129.0
27,36,9,10.08.2024,homepage,View,214.0
28,1,20,26.09.2025,productpage,View,64.0
29,12,17,01.06.2025,homepage,View,205.0
30,48,2,03.05.2023,productpage,View,242.0
31,81,19,04.04.2023,homepage,View,130.0
32,67,11,04.09.2023,checkout,Drop-off,
33,2,5,10.08.2025,homepage,View,26.0
34,55,15,26.10.2023,homepage,View,233.0
35,60,19,21.06.2023,homepage,Click,162.0
36,17,2,20.11.2023,checkout,Purchase,137.0
37,38,17,18.06.2024,checkout,Drop-off,
38,13,18,23.02.2023,productpage,View,227.0
39,63,18,10.08.2023,productpage,View,233.0
40,4,12,22.12.2024,homepage,View,110.0
41,92,5,23.11.2025,productpage,View,124.0
42,95,10,28.01.2025,homepage,View,172.0
43,21,8,14.03.2025,homepage,View,40.0
44,29,3,29.02.2024,homepage,View,193.0
45,94,6,07.06.2023,productpage,View,118.0
46,30,19,27.10.2025,homepage,View,210.0
47,30,20,18.02.2024,checkout,Drop-off,
48,52,13,01.02.2025,homepage,View,241.0
49,93,14,09.04.2023,homepage,Click,69.0
50,5,9,19.04.2024,homepage,View,44.0
51,65,8,29.09.2025,productpage,View,272.0
52,15,9,07.08.2025,checkout,Drop-off,
53,24,4,05.04.2024,homepage,View,182.0
54,9,11,19.11.2024,checkout,Drop-off,
55,1,7,17.03.2024,checkout,Drop-off,
56,97,11,20.12.2023,homepage,Click,234.0
57,52,14,02.12.2024,homepage,View,253.0
58,51,20,08.03.2025,productpage,View,174.0
59,32,8,19.08.2024,homepage,View,238.0
60,19,6,17.06.2025,productpage,View,190.0
61,69,20,12.07.2025,homepage,Click,14.0
62,42,1,22.10.2024,homepage,View,186.0
63,51,15,22.05.2025,homepage,View,139.0
64,86,20,03.07.2023,productpage,View,77.0
65,54,10,23.12.2023,homepage,View,101.0
66,52,2,16.11.2023,homepage,Click,242.0
67,25,1,21.05.2023,productpage,Click,57.0
68,45,16,29.04.2023,productpage,Click,250.0
69,82,19,21.02.2025,productpage,Click,158.0
70,75,17,07.07.2023,homepage,View,297.0
71,40,20,13.07.2023,checkout,Drop-off,
72,47,15,23.08.2023,homepage,Click,34.0
73,20,16,17.09.2024,homepage,View,17.0
74,81,13,26.09.2024,homepage,Click,291.0
75,93,1,01.10.2024,productpage,Click,279.0
76,42,17,29.05.2025,checkout,Purchase,261.0
77,36,4,02.06.2023,homepage,Click,100.0
78,46,17,15.06.2025,checkout,Purchase,122.0
79,75,10,13.11.2023,homepage,View,244.0
80,64,6,06.04.2025,homepage,Click,161.0
81,89,15,27.10.2025,checkout,Purchase,246.0
82,64,2,07.06.2025,homepage,Click,261.0
83,54,8,18.01.2024,productpage,Click,83.0
84,79,15,09.03.2025,checkout,Purchase,48.0
85,56,4,26.05.2023,homepage,Click,166.0
86,83,3,06.09.2023,homepage,View,79.0
87,2,2,25.09.2023,homepage,View,277.0
88,15,20,18.12.2025,homepage,View,136.0
89,14,9,18.04.2025,homepage,Click,104.0
